,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.0614,0.058,2,-20.976,1,0.0418,0.918,0.915,0.149,0.0329,58.193,audio_features,3ddAtoSripaeASJeovlIsg,spotify:track:3ddAtoSripaeASJeovlIsg,https://api.spotify.com/v1/tracks/3ddAtoSripaeASJeovlIsg,https://api.spotify.com/v1/audio-analysis/3ddAtoSripaeASJeovlIsg,1463704,4
1,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,audio_features,1Oo7XEqkrwifJn17aA0ocF,spotify:track:1Oo7XEqkrwifJn17aA0ocF,https://api.spotify.com/v1/tracks/1Oo7XEqkrwifJn17aA0ocF,https://api.spotify.com/v1/audio-analysis/1Oo7XEqkrwifJn17aA0ocF,378733,4
2,0.0877,0.0763,9,-23.986,1,0.0429,0.645,0.897,0.353,0.0509,78.535,audio_features,3o9br9LskOEbwc5irxfHqR,spotify:track:3o9br9LskOEbwc5irxfHqR,https://api.spotify.com/v1/tracks/3o9br9LskOEbwc5irxfHqR,https://api.spotify.com/v1/audio-analysis/3o9br9LskOEbwc5irxfHqR,295219,4
3,0.176,0.0534,10,-27.626,1,0.0406,0.97,0.915,0.29,0.0332,71.673,audio_features,5TtmI9sfXw4VXco0PE21mV,spotify:track:5TtmI9sfXw4VXco0PE21mV,https://api.spotify.com/v1/tracks/5TtmI9sfXw4VXco0PE21mV,https://api.spotify.com/v1/audio-analysis/5TtmI9sfXw4VXco0PE21mV,132120,5
4,0.428,0.003,0,-31.005,1,0.0709,0.995,0.924,0.0889,0.0934,69.108,audio_features,6aD8MeXrjHNz7YgrTLHhyA,spotify:track:6aD8MeXrjHNz7YgrTLHhyA,https://api.spotify.com/v1/tracks/6aD8MeXrjHNz7YgrTLHhyA,https://api.spotify.com/v1/audio-analysis/6aD8MeXrjHNz7YgrTLHhyA,407947,3
5,0.24,0.146,0,-17.554,0,0.0417,0.874,0.379,0.136,0.066,103.091,audio_features,5xCHmCizjJ4ptpftvJ8Rlf,spotify:track:5xCHmCizjJ4ptpftvJ8Rlf,https://api.spotify.com/v1/tracks/5xCHmCizjJ4ptpftvJ8Rlf,https://api.spotify.com/v1/audio-analysis/5xCHmCizjJ4ptpftvJ8Rlf,480520,4
6,0.0888,0.137,7,-21.913,1,0.0467,0.374,0.934,0.413,0.039,86.31,audio_features,5jBOXLFwBG0OWgq4heejqJ,spotify:track:5jBOXLFwBG0OWgq4heejqJ,https://api.spotify.com/v1/tracks/5jBOXLFwBG0OWgq4heejqJ,https://api.spotify.com/v1/audio-analysis/5jBOXLFwBG0OWgq4heejqJ,310000,3
7,0.0691,0.0188,8,-31.77,1,0.0433,0.966,0.929,0.0671,0.0368,75.967,audio_features,1cdNMfQzAhyChjFUwXfYxL,spotify:track:1cdNMfQzAhyChjFUwXfYxL,https://api.spotify.com/v1/tracks/1cdNMfQzAhyChjFUwXfYxL,https://api.spotify.com/v1/audio-analysis/1cdNMfQzAhyChjFUwXfYxL,519027,3
8,0.072,0.0348,3,-23.829,1,0.0469,0.928,0.864,0.0857,0.0343,79.491,audio_features,6L1ya2i7ploS0eR2PIYOzq,spotify:track:6L1ya2i7ploS0eR2PIYOzq,https://api.spotify.com/v1/tracks/6L1ya2i7ploS0eR2PIYOzq,https://api.spotify.com/v1/audio-analysis/6L1ya2i7ploS0eR2PIYOzq,367600,3
9,0.412,0.00447,2,-41.052,0,0.0479,0.994,0.959,0.085,0.0726,66.479,audio_features,3ZWAtpmC9UdjIZtiZ2dwp0,spotify:track:3ZWAtpmC9UdjIZtiZ2dwp0,https://api.spotify.com/v1/tracks/3ZWAtpmC9UdjIZtiZ2dwp0,https://api.spotify.com/v1/audio-analysis/3ZWAtpmC9UdjIZtiZ2dwp0,83011,5
10,0.295,0.00799,7,-36.586,0,0.045,0.995,0.912,0.087,0.192,168.333,audio_features,24lh2z8T2suwGctBInqDkk,spotify:track:24lh2z8T2suwGctBInqDkk,https://api.spotify.com/v1/tracks/24lh2z8T2suwGctBInqDkk,https://api.spotify.com/v1/audio-analysis/24lh2z8T2suwGctBInqDkk,118160,4
11,0.351,0.00622,0,-33.286,0,0.0388,0.994,0.943,0.115,0.0794,66.921,audio_features,6cDytuMZ5Z4iMEhK65HiHL,spotify:track:6cDytuMZ5Z4iMEhK65HiHL,https://api.spotify.com/v1/tracks/6cDytuMZ5Z4iMEhK65HiHL,https://api.spotify.com/v1/audio-analysis/6cDytuMZ5Z4iMEhK65HiHL,223067,4
12,0.417,0.0363,7,-27.778,1,0.0648,0.995,0.922,0.12,0.166,76.779,audio_features,7FbicAUnYgtKmzRhozJWlC,spotify:track:7FbicAUnYgtKmzRhozJWlC,https://api.spotify.com/v1/tracks/7FbicAUnYgtKmzRhozJWlC,https://api.spotify.com/v1/audio-analysis/7FbicAUnYgtKmzRhozJWlC,193000,4
13,0.114,0.0158,0,-25.243,1,0.0351,0.902,0.824,0.257,0.0481,82.868,audio_features,6xEBSvLDWaFinm8v3NZQCX,spotify:track:6xEBSvLDWaFinm8v3NZQCX,https://api.spotify.com/v1/tracks/6xEBSvLDWaFinm8v3NZQCX,https://api.spotify.com/v1/audio-analysis/6xEBSvLDWaFinm8v3NZQCX,209000,5
14,0.235,0.00858,10,-35.138,0,0.0356,0.993,0.901,0.0947,0.0526,77.518,audio_features,5i2SrkKMPRSgKosCNhZG4G,spotify:track:5i2SrkKMPRSgKosCNhZG4G,https://api.spotify.com/v1/tracks/5i2SrkKMPRSgKosCNhZG4G,https://api.spotify.com/v1/audio-analysis/5i2SrkKMPRSgKosCNhZG4G,81893,3
15,0.29,0.0899,9,-26.046,0,0.047,0.937,0.698,0.105,0.156,90.888,audio_features,37oIGXkiR4MlM79w65rd02,spotify:track:37oIGXkiR4MlM79w65rd02,https://api.spotify.com/v1/tracks/37oIGXkiR4MlM79w65rd02,https://api.spotify.com/v1/audio-analysis/37oIGXkiR4MlM79w65rd02,547000,4
16,0.0897,0.135,4,-16.636,0,0.0423,0.928,0.795,0.227,0.0381,69.755,audio_features,1PKx2AJsW0KGbDh3oUbqv9,spotify:track:1PKx2AJsW0KGbDh3oUbqv9,https://api.spotify.com/v1/tracks/1PKx2AJsW0KGbDh3oUbqv9,https://api.spotify.com/v1/audio-analysis/1PKx2AJsW0KGbDh3oUbqv9,614653,3
17,0.1,0.0656,5,-23.678,0,0.0508,0.979,0.788,0.124,0.037,73.959,audio_features,74JmOn8oxrDI6msHDudTlm,spotify:track:74JmOn8oxrDI6msHDudTlm,https://api.spotify.com/v1/tracks/74JmOn8oxrDI6msHDudTlm,https://api.spotify.com/v1/audio-analysis/74JmOn8oxrDI6msHDudTlm,296373,3
18,0.335,0.00532,1,-31.646,1,0.0376,0.994,0.912,0.0621,0.0397,65.832,audio_features,5u5aVJKjSMJr4zesMPz7bL,spotify:track:5u5aVJKjSMJr4zesMPz7bL,https://api.spotify.com/v1/tracks/5u5aVJKjSMJr4zesMPz7bL,https://api.spotify.com/v1/audio-analysis/5u5aVJKjSMJr4zesMPz7bL,268000,4
19,0.328,0.00278,10,-38.801,1,0.0566,0.995,0.868,0.105,0.194,75.387,audio_features,76wV53YHl0tGEvT3L0QzvK,spotify:track:76wV53YHl0tGEvT3L0QzvK,https://api.spotify.com/v1/tracks/76wV53YHl0tGEvT3L0QzvK,https://api.spotify.com/v1/audio-analysis/76wV53YHl0tGEvT3L0QzvK,85907,1
20,0.304,0.0355,9,-27.201,1,0.0471,0.994,0.908,0.145,0.0485,63.268,audio_features,50NKS5zdW19a73ckDz29eu,spotify:track:50NKS5zdW19a73ckDz29eu,https://api.spotify.com/v1/tracks/50NKS5zdW19a73ckDz29eu,https://api.spotify.com/v1/audio-analysis/50NKS5zdW19a73ckDz29eu,268907,3
21,0.0881,0.00908,11,-36.653,1,0.0486,0.956,0.531,0.0864,0.0469,167.704,audio_features,7cV7aSA5cxYLcMeRk9uwRY,spotify:track:7cV7aSA5cxYLcMeRk9uwRY,https://api.spotify.com/v1/tracks/7cV7aSA5cxYLcMeRk9uwRY,https://api.spotify.com/v1/audio-analysis/7cV7aSA5cxYLcMeRk9uwRY,174000,5
22,0.327,0.23,9,-24.346,0,0.0437,0.984,0.895,0.0952,0.918,139.677,audio_features,4vFEiNPUaEvfWnHwVRa0Kq,spotify:track:4vFEiNPUaEvfWnHwVRa0Kq,https://api.spotify.com/v1/tracks/4vFEiNPUaEvfWnHwVRa0Kq,https://api.spotify.com/v1/audio-analysis/4vFEiNPUaEvfWnHwVRa0Kq,72107,3
23,0.289,0.076,11,-21.295,0,0.0366,0.993,0.887,0.0845,0.0324,101.755,audio_features,4VTnc3rElZ3Ihcz5VM8mXa,spotify:track:4VTnc3rElZ3Ihcz5VM8mXa,https://api.spotify.com/v1/tracks/4VTnc3rElZ3Ihcz5VM8mXa,https://api.spotify.com/v1/audio-analysis/4VTnc3rElZ3Ihcz5VM8mXa,375187,3
24,0.0724,0.0659,3,-19.545,1,0.0408,0.947,0.866,0.109,0.0366,70.285,audio_features,2TAmVyyPPoSwdMckJp4I8f,spotify:track:2TAmVyyPPoSwdMckJp4I8f,https://api.spotify.com/v1/tracks/2TAmVyyPPoSwdMckJp4I8f,https://api.spotify.com/v1/audio-analysis/2TAmVyyPPoSwdMckJp4I8f,1148947,4
25,0.114,0.071,3,-22.715,1,0.0512,0.919,0.42,0.156,0.0392,78.942,audio_features,7qeevCIzq5nycic1ZamIxr,spotify:track:7qeevCIzq5nycic1ZamIxr,https://api.spotify.com/v1/tracks/7qeevCIzq5nycic1ZamIxr,https://api.spotify.com/v1/audio-analysis/7qeevCIzq5nycic1ZamIxr,503067,3
26,0.266,0.156,7,-20.815,0,0.0361,0.939,0.915,0.257,0.191,135.845,audio_features,1XS3yKaiiyXNMJBQLCHeCL,spotify:track:1XS3yKaiiyXNMJBQLCHeCL,https://api.spotify.com/v1/tracks/1XS3yKaiiyXNMJBQLCHeCL,https://api.spotify.com/v1/audio-analysis/1XS3yKaiiyXNMJBQLCHeCL,484333,4
27,0.201,0.0425,0,-25.611,1,0.043,0.649,0.349,0.0884,0.0543,139.396,audio_features,6hVG3m6dephYvtGxntHyqO,spotify:track:6hVG3m6dephYvtGxntHyqO,https://api.spotify.com/v1/tracks/6hVG3m6dephYvtGxntHyqO,https://api.spotify.com/v1/audio-analysis/6hVG3m6dephYvtGxntHyqO,950718,4
28,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,audio_features,419qlOGNXoyICx4jO0hqaj,spotify:track:419qlOGNXoyICx4jO0hqaj,https://api.spotify.com/v1/tracks/419qlOGNXoyICx4jO0hqaj,https://api.spotify.com/v1/audio-analysis/419qlOGNXoyICx4jO0hqaj,174653,4
29,0.264,0.0258,5,-27.739,1,0.0403,0.995,0.899,0.082,0.0347,62.103,audio_features,5Oieba4xZcd4aAyuqOC2mF,spotify:track:5Oieba4xZcd4aAyuqOC2mF,https://api.spotify.com/v1/tracks/5Oieba4xZcd4aAyuqOC2mF,https://api.spotify.com/v1/audio-analysis/5Oieba4xZcd4aAyuqOC2mF,418080,4
30,0.327,0.0368,7,-25.148,0,0.0346,0.995,0.873,0.104,0.116,66.964,audio_features,33Nsd72TDAVWcA7LSVRVo7,spotify:track:33Nsd72TDAVWcA7LSVRVo7,https://api.spotify.com/v1/tracks/33Nsd72TDAVWcA7LSVRVo7,https://api.spotify.com/v1/audio-analysis/33Nsd72TDAVWcA7LSVRVo7,227376,4
31,0.283,0.00952,5,-34.819,0,0.0408,0.993,0.878,0.086,0.0486,65.861,audio_features,2WaFKAzo6YiS1Y5miHPMVt,spotify:track:2WaFKAzo6YiS1Y5miHPMVt,https://api.spotify.com/v1/tracks/2WaFKAzo6YiS1Y5miHPMVt,https://api.spotify.com/v1/audio-analysis/2WaFKAzo6YiS1Y5miHPMVt,227787,5
32,0.271,0.00524,5,-31.376,1,0.0858,0.994,0.891,0.0601,0.0373,69.888,audio_features,2bgJtH1MgEV7CgaU3aDYAk,spotify:track:2bgJtH1MgEV7CgaU3aDYAk,https://api.spotify.com/v1/tracks/2bgJtH1MgEV7CgaU3aDYAk,https://api.spotify.com/v1/audio-analysis/2bgJtH1MgEV7CgaU3aDYAk,120427,3
33,0.13,0.285,3,-17.892,1,0.0476,0.97,0.0202,0.104,0.0701,64.031,audio_features,5Z39ysVo8W3pYw8UieDrSZ,spotify:track:5Z39ysVo8W3pYw8UieDrSZ,https://api.spotify.com/v1/tracks/5Z39ysVo8W3pYw8UieDrSZ,https://api.spotify.com/v1/audio-analysis/5Z39ysVo8W3pYw8UieDrSZ,348551,4
34,0.0695,0.0108,4,-26.729,1,0.0429,0.965,0.76,0.0777,0.0377,75.279,audio_features,0AoBVHrn422YM52l4TAS0P,spotify:track:0AoBVHrn422YM52l4TAS0P,https://api.spotify.com/v1/tracks/0AoBVHrn422YM52l4TAS0P,https://api.spotify.com/v1/audio-analysis/0AoBVHrn422YM52l4TAS0P,1030907,3
35,0.354,0.00667,4,-28.652,0,0.0455,0.995,0.909,0.109,0.0926,79.675,audio_features,27AFZXBpDHR7urSrK9mvbf,spotify:track:27AFZXBpDHR7urSrK9mvbf,https://api.spotify.com/v1/tracks/27AFZXBpDHR7urSrK9mvbf,https://api.spotify.com/v1/audio-analysis/27AFZXBpDHR7urSrK9mvbf,381922,4
36,0.154,0.033,3,-26.034,1,0.0402,0.993,0.933,0.113,0.037,72.611,audio_features,1yDBKc5GHjU3cVQKqm4Mmh,spotify:track:1yDBKc5GHjU3cVQKqm4Mmh,https://api.spotify.com/v1/tracks/1yDBKc5GHjU3cVQKqm4Mmh,https://api.spotify.com/v1/audio-analysis/1yDBKc5GHjU3cVQKqm4Mmh,308387,4
37,0.123,0.145,1,-20.277,1,0.0458,0.959,0.869,0.115,0.0364,95.369,audio_features,3K0FE7QAh4R4Gi2jKWIPoP,spotify:track:3K0FE7QAh4R4Gi2jKWIPoP,https://api.spotify.com/v1/tracks/3K0FE7QAh4R4Gi2jKWIPoP,https://api.spotify.com/v1/audio-analysis/3K0FE7QAh4R4Gi2jKWIPoP,406958,5
38,0.063,0.0233,6,-27.782,0,0.042,0.977,0.921,0.18,0.0334,68.444,audio_features,0aRiMAA8tDopLimDxIKTaB,spotify:track:0aRiMAA8tDopLimDxIKTaB,https://api.spotify.com/v1/tracks/0aRiMAA8tDopLimDxIKTaB,https://api.spotify.com/v1/audio-analysis/0aRiMAA8tDopLimDxIKTaB,541800,4
39,0.214,0.116,4,-18.426,1,0.039,0.97,0.947,0.379,0.177,134.568,audio_features,5d8N6QOIWsCCDaLxY4GBC2,spotify:track:5d8N6QOIWsCCDaLxY4GBC2,https://api.spotify.com/v1/tracks/5d8N6QOIWsCCDaLxY4GBC2,https://api.spotify.com/v1/audio-analysis/5d8N6QOIWsCCDaLxY4GBC2,353755,3
40,0.242,0.0109,6,-28.673,1,0.0386,0.992,0.877,0.0919,0.0986,86.803,audio_features,4z9lWT4B9ILqOPcA58TUM1,spotify:track:4z9lWT4B9ILqOPcA58TUM1,https://api.spotify.com/v1/tracks/4z9lWT4B9ILqOPcA58TUM1,https://api.spotify.com/v1/audio-analysis/4z9lWT4B9ILqOPcA58TUM1,241800,3
41,0.222,0.0165,6,-26.56,1,0.0495,0.993,0.907,0.104,0.0806,68.67,audio_features,5PaA41KlcLeHd85PNILHcC,spotify:track:5PaA41KlcLeHd85PNILHcC,https://api.spotify.com/v1/tracks/5PaA41KlcLeHd85PNILHcC,https://api.spotify.com/v1/audio-analysis/5PaA41KlcLeHd85PNILHcC,207507,4
42,0.26,0.0136,6,-33.404,0,0.0351,0.992,0.915,0.107,0.0945,169.19,audio_features,0HOsqh89P9pPZptB3YVV81,spotify:track:0HOsqh89P9pPZptB3YVV81,https://api.spotify.com/v1/tracks/0HOsqh89P9pPZptB3YVV81,https://api.spotify.com/v1/audio-analysis/0HOsqh89P9pPZptB3YVV81,176000,3
43,0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.308,audio_features,1cpANF6zMBoFoxkoIjZHjv,spotify:track:1cpANF6zMBoFoxkoIjZHjv,https://api.spotify.com/v1/tracks/1cpANF6zMBoFoxkoIjZHjv,https://api.spotify.com/v1/audio-analysis/1cpANF6zMBoFoxkoIjZHjv,324200,3
44,0.586,0.0195,0,-25.521,0,0.0514,0.995,0.933,0.0724,0.161,45.567,audio_features,7qicVW46uBAY6DTNhQeFI4,spotify:track:7qicVW46uBAY6DTNhQeFI4,https://api.spotify.com/v1/tracks/7qicVW46uBAY6DTNhQeFI4,https://api.spotify.com/v1/audio-analysis/7qicVW46uBAY6DTNhQeFI4,102627,4
45,0.0755,0.0337,0,-25.681,0,0.0425,0.94,0.801,0.123,0.0355,77.059,audio_features,6D60l5TKz2VxaxERhjt0QX,spotify:track:6D60l5TKz2VxaxERhjt0QX,https://api.spotify.com/v1/tracks/6D60l5TKz2VxaxERhjt0QX,https://api.spotify.com/v1/audio-analysis/6D60l5TKz2VxaxERhjt0QX,623369,3
46,0.306,0.0495,10,-25.143,0,0.0365,0.993,0.928,0.201,0.0594,103.4,audio_features,3Uazywm8ppJpOGXNUtB1oR,spotify:track:3Uazywm8ppJpOGXNUtB1oR,https://api.spotify.com/v1/tracks/3Uazywm8ppJpOGXNUtB1oR,https://api.spotify.com/v1/audio-analysis/3Uazywm8ppJpOGXNUtB1oR,261333,4
47,0.348,0.201,10,-18.022,0,0.0321,0.981,0.793,0.143,0.411,90.833,audio_features,33w1Jv9CHGK14Pw8LnWJT5,spotify:track:33w1Jv9CHGK14Pw8LnWJT5,https://api.spotify.com/v1/tracks/33w1Jv9CHGK14Pw8LnWJT5,https://api.spotify.com/v1/audio-analysis/33w1Jv9CHGK14Pw8LnWJT5,65640,4
48,0.0674,0.0319,9,-25.053,1,0.0439,0.947,0.843,0.166,0.0384,67.904,audio_features,4KqnNrqtlD8x4jHbYFsewL,spotify:track:4KqnNrqtlD8x4jHbYFsewL,https://api.spotify.com/v1/tracks/4KqnNrqtlD8x4jHbYFsewL,https://api.spotify.com/v1/audio-analysis/4KqnNrqtlD8x4jHbYFsewL,448560,3
49,0.101,0.0472,6,-28.964,1,0.0422,0.965,0.918,0.618,0.0331,78.144,audio_features,23HPko5IrfZuL7zpX5ZjHH,spotify:track:23HPko5IrfZuL7zpX5ZjHH,https://api.spotify.com/v1/tracks/23HPko5IrfZuL7zpX5ZjHH,https://api.spotify.com/v1/audio-analysis/23HPko5IrfZuL7zpX5ZjHH,401893,4
50,0.175,0.0479,8,-27.915,1,0.0447,0.96,0.0351,0.212,0.0363,81.337,audio_features,3M9VL3Xq2GmnBu8xAedqra,spotify:track:3M9VL3Xq2GmnBu8xAedqra,https://api.spotify.com/v1/tracks/3M9VL3Xq2GmnBu8xAedqra,https://api.spotify.com/v1/audio-analysis/3M9VL3Xq2GmnBu8xAedqra,204440,4
51,0.191,0.263,3,-14.072,1,0.0331,0.947,0.496,0.378,0.0614,87.259,audio_features,1xdjn44CXZbkml03HPSW8M,spotify:track:1xdjn44CXZbkml03HPSW8M,https://api.spotify.com/v1/tracks/1xdjn44CXZbkml03HPSW8M,https://api.spotify.com/v1/audio-analysis/1xdjn44CXZbkml03HPSW8M,145400,4
52,0.0606,0.491,3,-9.808,1,0.0385,0.507,0.539,0.266,0.0861,61.288,audio_features,1PyI8yYqS0cEzueJAlvVIL,spotify:track:1PyI8yYqS0cEzueJAlvVIL,https://api.spotify.com/v1/tracks/1PyI8yYqS0cEzueJAlvVIL,https://api.spotify.com/v1/audio-analysis/1PyI8yYqS0cEzueJAlvVIL,142893,3
53,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,audio_features,2MSgFefjK0T7Iwjvr3OKqV,spotify:track:2MSgFefjK0T7Iwjvr3OKqV,https://api.spotify.com/v1/tracks/2MSgFefjK0T7Iwjvr3OKqV,https://api.spotify.com/v1/audio-analysis/2MSgFefjK0T7Iwjvr3OKqV,259493,4
54,0.155,0.0522,1,-25.087,1,0.0413,0.993,0.894,0.105,0.0585,70.473,audio_features,0Y9BzZGT2FuLVPrHoq1g2G,spotify:track:0Y9BzZGT2FuLVPrHoq1g2G,https://api.spotify.com/v1/tracks/0Y9BzZGT2FuLVPrHoq1g2G,https://api.spotify.com/v1/audio-analysis/0Y9BzZGT2FuLVPrHoq1g2G,336093,3
55,0.258,0.00795,9,-33.708,1,0.0398,0.978,0.924,0.12,0.046,80.806,audio_features,235v1U3NbGN0p2Ee4nyhT4,spotify:track:235v1U3NbGN0p2Ee4nyhT4,https://api.spotify.com/v1/tracks/235v1U3NbGN0p2Ee4nyhT4,https://api.spotify.com/v1/audio-analysis/235v1U3NbGN0p2Ee4nyhT4,295467,4
56,0.359,0.0323,1,-24.408,1,0.0377,0.989,0.91,0.0938,0.0728,107.169,audio_features,4hbvrHgfZ8lqFrPx1Ztd6j,spotify:track:4hbvrHgfZ8lqFrPx1Ztd6j,https://api.spotify.com/v1/tracks/4hbvrHgfZ8lqFrPx1Ztd6j,https://api.spotify.com/v1/audio-analysis/4hbvrHgfZ8lqFrPx1Ztd6j,338253,4
57,0.228,0.143,0,-21.903,0,0.0405,0.983,0.934,0.0766,0.134,75.522,audio_features,7jljqPTxRVx5ZJjyruQUtB,spotify:track:7jljqPTxRVx5ZJjyruQUtB,https://api.spotify.com/v1/tracks/7jljqPTxRVx5ZJjyruQUtB,https://api.spotify.com/v1/audio-analysis/7jljqPTxRVx5ZJjyruQUtB,567053,4
58,0.19,0.078,8,-27.611,1,0.0364,0.988,0.927,0.105,0.151,74.197,audio_features,6LGL8gQPQv3bMaT4ocVTsm,spotify:track:6LGL8gQPQv3bMaT4ocVTsm,https://api.spotify.com/v1/tracks/6LGL8gQPQv3bMaT4ocVTsm,https://api.spotify.com/v1/audio-analysis/6LGL8gQPQv3bMaT4ocVTsm,251418,4
59,0.295,0.0225,1,-30.914,1,0.0448,0.982,0.889,0.192,0.0397,67.228,audio_features,6W7KHILOnjLLElc31Ytt1m,spotify:track:6W7KHILOnjLLElc31Ytt1m,https://api.spotify.com/v1/tracks/6W7KHILOnjLLElc31Ytt1m,https://api.spotify.com/v1/audio-analysis/6W7KHILOnjLLElc31Ytt1m,267907,4
60,0.334,0.00732,4,-30.908,0,0.0355,0.991,0.952,0.0968,0.0964,60.171,audio_features,64LTn5fTsPR0QLy7bVYl9w,spotify:track:64LTn5fTsPR0QLy7bVYl9w,https://api.spotify.com/v1/tracks/64LTn5fTsPR0QLy7bVYl9w,https://api.spotify.com/v1/audio-analysis/64LTn5fTsPR0QLy7bVYl9w,241987,4
61,0.283,0.125,5,-18.333,0,0.0354,0.988,0.883,0.0909,0.0568,107.096,audio_features,3xdfrsXKfVmotMOzCQg6v8,spotify:track:3xdfrsXKfVmotMOzCQg6v8,https://api.spotify.com/v1/tracks/3xdfrsXKfVmotMOzCQg6v8,https://api.spotify.com/v1/audio-analysis/3xdfrsXKfVmotMOzCQg6v8,864320,4
62,0.376,0.0164,9,-25.933,0,0.0475,0.991,0.866,0.116,0.0364,108.821,audio_features,5XfmcJMAaifjRrIdLaXVLm,spotify:track:5XfmcJMAaifjRrIdLaXVLm,https://api.spotify.com/v1/tracks/5XfmcJMAaifjRrIdLaXVLm,https://api.spotify.com/v1/audio-analysis/5XfmcJMAaifjRrIdLaXVLm,131200,4
63,0.401,0.0127,1,-23.075,1,0.0586,0.995,0.906,0.0859,0.0691,130.857,audio_features,16lscXk0JZ078EVRAIN7Bs,spotify:track:16lscXk0JZ078EVRAIN7Bs,https://api.spotify.com/v1/tracks/16lscXk0JZ078EVRAIN7Bs,https://api.spotify.com/v1/audio-analysis/16lscXk0JZ078EVRAIN7Bs,379667,4
64,0.308,0.13,5,-22.12,0,0.0337,0.987,0.927,0.105,0.147,101.615,audio_features,2kcCOdVpLqhGmUN0r2tKBz,spotify:track:2kcCOdVpLqhGmUN0r2tKBz,https://api.spotify.com/v1/tracks/2kcCOdVpLqhGmUN0r2tKBz,https://api.spotify.com/v1/audio-analysis/2kcCOdVpLqhGmUN0r2tKBz,515840,3
65,0.261,0.0149,1,-27.528,1,0.0419,0.992,0.897,0.102,0.0382,75.296,audio_features,2d6ml9Qkx8r4EjuUyrdpRV,spotify:track:2d6ml9Qkx8r4EjuUyrdpRV,https://api.spotify.com/v1/tracks/2d6ml9Qkx8r4EjuUyrdpRV,https://api.spotify.com/v1/audio-analysis/2d6ml9Qkx8r4EjuUyrdpRV,286987,4
66,0.308,0.0563,0,-21.752,1,0.0385,0.993,0.893,0.0507,0.0377,136.44,audio_features,2oEK8HdbgtJ7tjqMSSabVG,spotify:track:2oEK8HdbgtJ7tjqMSSabVG,https://api.spotify.com/v1/tracks/2oEK8HdbgtJ7tjqMSSabVG,https://api.spotify.com/v1/audio-analysis/2oEK8HdbgtJ7tjqMSSabVG,317084,3
67,0.439,0.00609,2,-29.005,0,0.0566,0.995,0.896,0.0575,0.0638,128.807,audio_features,0czmdiVnPvtL3tAaKsaPSz,spotify:track:0czmdiVnPvtL3tAaKsaPSz,https://api.spotify.com/v1/tracks/0czmdiVnPvtL3tAaKsaPSz,https://api.spotify.com/v1/audio-analysis/0czmdiVnPvtL3tAaKsaPSz,250733,1
68,0.262,0.109,1,-20.732,1,0.0441,0.992,0.912,0.0945,0.0778,72.983,audio_features,5tA1cp06dn0J5UCRupOVjv,spotify:track:5tA1cp06dn0J5UCRupOVjv,https://api.spotify.com/v1/tracks/5tA1cp06dn0J5UCRupOVjv,https://api.spotify.com/v1/audio-analysis/5tA1cp06dn0J5UCRupOVjv,475720,3
69,0.37,0.213,6,-21.262,0,0.0299,0.989,0.884,0.148,0.375,87.318,audio_features,5JNgYciqwBjuo84p2nx8jU,spotify:track:5JNgYciqwBjuo84p2nx8jU,https://api.spotify.com/v1/tracks/5JNgYciqwBjuo84p2nx8jU,https://api.spotify.com/v1/audio-analysis/5JNgYciqwBjuo84p2nx8jU,121013,4
70,0.302,0.0321,8,-27.759,1,0.0578,0.995,0.843,0.105,0.0393,72.317,audio_features,0F72XsQWHy3VjHTktpgSKF,spotify:track:0F72XsQWHy3VjHTktpgSKF,https://api.spotify.com/v1/tracks/0F72XsQWHy3VjHTktpgSKF,https://api.spotify.com/v1/audio-analysis/0F72XsQWHy3VjHTktpgSKF,188333,4
71,0.447,0.0159,2,-25.612,0,0.063,0.995,0.933,0.195,0.107,131.542,audio_features,1YluEbLfaWBfV2GpQQLOcZ,spotify:track:1YluEbLfaWBfV2GpQQLOcZ,https://api.spotify.com/v1/tracks/1YluEbLfaWBfV2GpQQLOcZ,https://api.spotify.com/v1/audio-analysis/1YluEbLfaWBfV2GpQQLOcZ,236467,4
72,0.37,0.0454,1,-23.313,1,0.0427,0.994,0.944,0.0817,0.11,57.095,audio_features,2jUkhP5RTS3S8AWoKmDvI2,spotify:track:2jUkhP5RTS3S8AWoKmDvI2,https://api.spotify.com/v1/tracks/2jUkhP5RTS3S8AWoKmDvI2,https://api.spotify.com/v1/audio-analysis/2jUkhP5RTS3S8AWoKmDvI2,424043,4
73,0.209,0.00759,3,-30.225,1,0.0502,0.991,0.949,0.116,0.0593,65.385,audio_features,1QBaOzhMlaWx9zQZIEmJFx,spotify:track:1QBaOzhMlaWx9zQZIEmJFx,https://api.spotify.com/v1/tracks/1QBaOzhMlaWx9zQZIEmJFx,https://api.spotify.com/v1/audio-analysis/1QBaOzhMlaWx9zQZIEmJFx,366320,4
